registrar_id,course_code,pre_req,anti_req,co_req,level,school,description,department,title,credits,term
1405,PHYS 370,PHYS 361 Classical Electrodynamics I (651) (C- and above),,,UG,SSH,n/a,Physics,Optics with Laboratory,8,Spring 2025
4137,MATH 512,,,,GrM,SSH,"The course covers an introduction to optimization methods and techniques. Lectures will discuss the main theoretical results, the most relevant algorithms and show how to use them for solving real case studies. Relevant optimization software will be introduced as well. ",Mathematics,Optimization Methods and Techniques,8,Fall 2022
4422,SOC 320,SOC 101 Introduction to Sociology (508) (C- and above),,,UG,SSH,This course provides a thorough grounding in the scholar literature on organized crime and an introduction to its links with corruption. The course engages case studies of organized crime groups from around the world. It analyses anti-organized crime and anti-corruption policies and provides case studies of these from the former Soviet Union.,Sociology and Anthropology,Organized Crime and Corruption,6,Spring 2025
116,PHYS 161,,PHYS 171 Physics I for Physics Majors with Laboratory (1401) (C- and above),MATH 161 Calculus I (118) (C and above),UG,SSH,This is an introductory calculus-based course covering Mechanics and Thermodynamics.,Physics,Physics I for Scientists and Engineers with Laboratory,8,Fall 2025
173,PHYS 162,PHYS 161 Physics I for Scientists and Engineers with Laboratory (116) (C- and above) OR PHYS 151 Introductory Physics I with Lab (649) (C- and above),PHYS 172 Physics II for Physics Majors with Laboratory (1402) (C- and above),,UG,SSH,"This is an introductory algebra-based course covering Electricity, Magnetism and elements of Optics. ",Physics,Physics II for Scientists and Engineers with Laboratory,8,Summer 2025
5768,MATH 680,,,,GrM,SSH,"Numerical approximation with polynomials, both theory and practice. The emphasis is on Chebyshev polynomials on an interval, but some other topics will be covered. Expertise in numerical and theoretical sides of the topic will be expected.",Mathematics,Potential Theory and Polynomial Approximation,8,Fall 2023
8023,MBA 05,,,,GrM,GSB,The course examines the theory of financial decision-making by firms and examines the behavior of the capital markets in which these decisions are taken.,GSB,Principles of Finance,6,Spring 2025
8210,PLS 774,,,,PhD,SSH,"Public choice and public policy is a course designed to acquaint students with a sub-discipline of economics and political science that attempts to explain (and improve) the public policy process via economics.  Students will learn about the origins of public choice and the key theories of the public choice school, as well as actively engage in the debates on “how to govern.”",Political Science and International Relations,Public Choice and Public Policy,8,Spring 2026
2621,PHYS 510,,,,GrM,SSH,The course covers nonrelativistic quantum mechanics and introduces elements of relativistic quantum theory.  The focus of the course is on the applications of quantum mechanics to experimentally relevant physical settings.,Physics,Quantum Mechanics,8,Spring 2025
5494,PHYS 710,,,,PhD,SSH,This course aims to provide mastery of graduate level quantum mechanics. ,Physics,Quantum Mechanics,8,Spring 2025
